[a, b] = [0, 2]
h = 0.001 
 
  n            x1            v1            x2            v2
341      1.127738     -0.399536     -0.252507     -0.638383
342      1.127338     -0.400463     -0.253145     -0.637550
343      1.126937     -0.401389     -0.253783     -0.636715
344      1.126535     -0.402313     -0.254419     -0.635879
345      1.126132     -0.403235     -0.255054     -0.635041
346      1.125729     -0.404156     -0.255689     -0.634202
347      1.125324     -0.405076     -0.256323     -0.633361
348      1.124919     -0.405994     -0.256956     -0.632519
349      1.124512     -0.406910     -0.257588     -0.631675
350      1.124105     -0.407825     -0.258219     -0.630830
351      1.123697     -0.408738     -0.258849     -0.629983
352      1.123287     -0.409650     -0.259479     -0.629135
353      1.122877     -0.410560     -0.260108     -0.628285
354      1.122466     -0.411469     -0.260736     -0.627433
355      1.122054     -0.412377     -0.261363     -0.626580
356      1.121641     -0.413282     -0.261989     -0.625726
357      1.121228     -0.414187     -0.262614     -0.624870
358      1.120813     -0.415089     -0.263238     -0.624012
359      1.120398     -0.415990     -0.263862     -0.623153
360      1.119981     -0.416890     -0.264485     -0.622293
361      1.119564     -0.417788     -0.265107     -0.621431
362      1.119146     -0.418685     -0.265728     -0.620567
363      1.118726     -0.419580     -0.266348     -0.619702
364      1.118306     -0.420474     -0.266967     -0.618836
365      1.117885     -0.421366     -0.267585     -0.617968
366      1.117464     -0.422256     -0.268203     -0.617098
367      1.117041     -0.423145     -0.268820     -0.616227
368      1.116617     -0.424033     -0.269435     -0.615355
369      1.116193     -0.424919     -0.270050     -0.614481
370      1.115768     -0.425803     -0.270664     -0.613605
371      1.115341     -0.426686     -0.271278     -0.612729
372      1.114914     -0.427568     -0.271890     -0.611850
373      1.114486     -0.428448     -0.272501     -0.610970
374      1.114057     -0.429326     -0.273112     -0.610089
375      1.113627     -0.430203     -0.273721     -0.609206
376      1.113197     -0.431079     -0.274330     -0.608322
377      1.112765     -0.431953     -0.274938     -0.607436
378      1.112333     -0.432825     -0.275545     -0.606549
379      1.111900     -0.433696     -0.276151     -0.605660
380      1.111466     -0.434566     -0.276756     -0.604770
381      1.111031     -0.435434     -0.277361     -0.603878
382      1.110595     -0.436300     -0.277964     -0.602985
383      1.110158     -0.437165     -0.278567     -0.602091
384      1.109720     -0.438029     -0.279168     -0.601195
385      1.109282     -0.438891     -0.279769     -0.600297
386      1.108843     -0.439751     -0.280369     -0.599399
387      1.108402     -0.440610     -0.280968     -0.598498
388      1.107961     -0.441467     -0.281566     -0.597597
389      1.107519     -0.442323     -0.282163     -0.596693
390      1.107077     -0.443178     -0.282759     -0.595789
391      1.106633     -0.444031     -0.283355     -0.594883
392      1.106189     -0.444882     -0.283949     -0.593975
393      1.105743     -0.445732     -0.284543     -0.593066
394      1.105297     -0.446581     -0.285135     -0.592156
395      1.104850     -0.447428     -0.285727     -0.591244
396      1.104402     -0.448273     -0.286318     -0.590331
397      1.103954     -0.449117     -0.286908     -0.589416
398      1.103504     -0.449960     -0.287496     -0.588500
399      1.103054     -0.450801     -0.288085     -0.587582
400      1.102602     -0.451640     -0.288672     -0.586663
401      1.102150     -0.452478     -0.289258     -0.585743
402      1.101698     -0.453315     -0.289843     -0.584821
403      1.101244     -0.454150     -0.290428     -0.583898
404      1.100789     -0.454983     -0.291011     -0.582974
405      1.100334     -0.455815     -0.291593     -0.582047
406      1.099878     -0.456646     -0.292175     -0.581120
407      1.099421     -0.457475     -0.292756     -0.580191
408      1.098963     -0.458302     -0.293335     -0.579261
409      1.098504     -0.459129     -0.293914     -0.578329
410      1.098044     -0.459953     -0.294492     -0.577396
411      1.097584     -0.460776     -0.295069     -0.576462
412      1.097123     -0.461598     -0.295645     -0.575526
413      1.096661     -0.462418     -0.296220     -0.574589
414      1.096198     -0.463237     -0.296794     -0.573650
415      1.095734     -0.464054     -0.297367     -0.572710
416      1.095270     -0.464870     -0.297940     -0.571769
417      1.094805     -0.465684     -0.298511     -0.570826
418      1.094339     -0.466496     -0.299081     -0.569881
419      1.093872     -0.467308     -0.299651     -0.568936
420      1.093404     -0.468117     -0.300219     -0.567989
421      1.092935     -0.468926     -0.300787     -0.567040
422      1.092466     -0.469733     -0.301353     -0.566091
423      1.091996     -0.470538     -0.301919     -0.565140
424      1.091525     -0.471342     -0.302483     -0.564187
425      1.091053     -0.472144     -0.303047     -0.563233
426      1.090581     -0.472945     -0.303610     -0.562278
427      1.090107     -0.473744     -0.304172     -0.561321
428      1.089633     -0.474542     -0.304733     -0.560363
429      1.089158     -0.475339     -0.305292     -0.559404
430      1.088683     -0.476134     -0.305851     -0.558443
431      1.088206     -0.476927     -0.306409     -0.557481
432      1.087729     -0.477719     -0.306966     -0.556517
433      1.087251     -0.478510     -0.307522     -0.555552
434      1.086772     -0.479299     -0.308077     -0.554586
435      1.086292     -0.480086     -0.308632     -0.553618
436      1.085811     -0.480872     -0.309185     -0.552649
437      1.085330     -0.481657     -0.309737     -0.551679
438      1.084848     -0.482440     -0.310288     -0.550707
439      1.084365     -0.483222     -0.310838     -0.549734
440      1.083882     -0.484002     -0.311388     -0.548760
441      1.083397     -0.484781     -0.311936     -0.547784
442      1.082912     -0.485558     -0.312483     -0.546807
443      1.082426     -0.486334     -0.313029     -0.545828
444      1.081939     -0.487108     -0.313575     -0.544849
445      1.081452     -0.487881     -0.314119     -0.543867
446      1.080964     -0.488652     -0.314662     -0.542885
447      1.080475     -0.489422     -0.315205     -0.541901
448      1.079985     -0.490191     -0.315746     -0.540916
449      1.079494     -0.490958     -0.316287     -0.539929
450      1.079003     -0.491723     -0.316826     -0.538941
451      1.078511     -0.492487     -0.317365     -0.537952
452      1.078018     -0.493250     -0.317902     -0.536961
453      1.077524     -0.494011     -0.318439     -0.535969
454      1.077030     -0.494770     -0.318974     -0.534976
455      1.076535     -0.495529     -0.319508     -0.533982
456      1.076039     -0.496285     -0.320042     -0.532986
457      1.075542     -0.497040     -0.320574     -0.531988
458      1.075045     -0.497794     -0.321106     -0.530990
459      1.074547     -0.498546     -0.321636     -0.529990
460      1.074048     -0.499297     -0.322166     -0.528988
461      1.073548     -0.500047     -0.322694     -0.527986
462      1.073048     -0.500795     -0.323222     -0.526982
463      1.072546     -0.501541     -0.323748     -0.525977
464      1.072045     -0.502286     -0.324274     -0.524970
465      1.071542     -0.503029     -0.324798     -0.523962
466      1.071039     -0.503771     -0.325322     -0.522953
467      1.070534     -0.504512     -0.325844     -0.521942
468      1.070029     -0.505251     -0.326366     -0.520930
469      1.069524     -0.505989     -0.326886     -0.519917
470      1.069018     -0.506725     -0.327405     -0.518903
471      1.068510     -0.507459     -0.327924     -0.517887
472      1.068003     -0.508193     -0.328441     -0.516870
473      1.067494     -0.508924     -0.328958     -0.515851
474      1.066985     -0.509655     -0.329473     -0.514832
475      1.066475     -0.510384     -0.329987     -0.513810
476      1.065964     -0.511111     -0.330501     -0.512788
477      1.065453     -0.511837     -0.331013     -0.511764
478      1.064940     -0.512561     -0.331524     -0.510739
479      1.064427     -0.513284     -0.332034     -0.509713
480      1.063914     -0.514006     -0.332544     -0.508685
481      1.063399     -0.514726     -0.333052     -0.507656
482      1.062884     -0.515445     -0.333559     -0.506626
483      1.062368     -0.516162     -0.334065     -0.505595
484      1.061852     -0.516877     -0.334570     -0.504562
485      1.061335     -0.517592     -0.335074     -0.503528
486      1.060817     -0.518305     -0.335577     -0.502492
487      1.060298     -0.519016     -0.336079     -0.501455
488      1.059779     -0.519726     -0.336580     -0.500417
489      1.059259     -0.520434     -0.337080     -0.499378
490      1.058738     -0.521141     -0.337579     -0.498337
491      1.058216     -0.521847     -0.338077     -0.497295
492      1.057694     -0.522551     -0.338573     -0.496252
493      1.057171     -0.523253     -0.339069     -0.495208
494      1.056648     -0.523954     -0.339564     -0.494162
